parameter,n_injections,mean_rank,cdf_at_50,cdf_at_90,ks_statistic,ks_pvalue
M_c,100,0.4628360068263154,0.57,0.92,0.09577382443738497,0.2987261375718713
q,100,0.5147012410767225,0.45,0.87,0.08147523679237534,0.4948433192510586
s1_mag,100,0.5117986252373313,0.46,0.86,0.06091884333382866,0.829735055228134
s1_theta,100,0.4799909178004175,0.51,0.91,0.09424266984986213,0.31678007325495294
s1_phi,100,0.4935675721646701,0.54,0.91,0.047035212600083975,0.9723680260499096
s2_mag,100,0.5666185504686407,0.39,0.86,0.12685659941570504,0.07318909459426592
s2_theta,100,0.503264759921823,0.46,0.92,0.07132695036146675,0.662283045497566
s2_phi,100,0.5492805795730085,0.41,0.9,0.1068828879617662,0.18926779914091585
iota,100,0.49122413093405287,0.52,0.94,0.06238576141262431,0.8079646100049231
lambda_1,100,0.48507026983441526,0.53,0.93,0.05632082154703244,0.8910600437762508
lambda_2,100,0.5273592738158029,0.44,0.87,0.07085313490068301,0.6702855363703086
ra,100,0.539595196231911,0.43,0.9,0.10916252193724418,0.1712361585472627
dec,100,0.4871101091840046,0.53,0.92,0.06818181769084264,0.7151324835985795
psi,100,0.5246788804110655,0.49,0.84,0.08127095984510535,0.49805186551741853
d_L,100,0.5728143754719163,0.39,0.87,0.1676517701684037,0.006321109728429586
