source_injection_id,batch,post_jit_sampling_seconds,sample_call_seconds,total_seconds
0,source0-9,53.35475652478635,111.72468859050423,154.07110078725964
1,source0-9,39.97397303953767,61.906506770290434,67.5359469903633
2,source0-9,44.013748588971794,65.92801154684275,71.51847472973168
3,source0-9,26.732478566467762,48.16558975633234,53.489483470097184
4,source0-9,41.142163581214845,62.78669249918312,68.66178409568965
5,source0-9,60.03077076468617,81.65788233373314,87.98495948314667
6,source0-9,40.289337064139545,61.554783053696156,67.54696308728307
7,source0-9,44.42916915751994,65.99518026225269,69.14202880021185
8,source0-9,37.723636836744845,59.09546552877873,64.92466546036303
9,source0-9,50.674569862894714,72.31370850931853,78.28314290288836
10,source10-19,50.39981134887785,112.5655419472605,155.67170774750412
11,source10-19,44.92997719720006,66.89780574291945,72.91975520923734
12,source10-19,53.768330404534936,75.22356257867068,81.50541949737817
13,source10-19,56.42835786007345,77.92546359542757,83.76510947011411
14,source10-19,33.60823668632656,55.26307926606387,60.75742764864117
15,source10-19,47.49118875246495,69.16988780908287,75.00059363432229
16,source10-19,62.09644081816077,83.7017420604825,90.0251731807366
17,source10-19,47.88666047807783,69.74032210372388,75.76412917301059
18,source10-19,51.280069260858,73.02850097883493,79.05542274098843
19,source10-19,50.94083239324391,72.4836469758302,78.52041276730597
20,source20-34,55.021189365535975,113.38418960571289,156.27474219724536
21,source20-34,50.80192447826266,73.03392464667559,79.23750889673829
22,source20-34,37.329063300043344,59.619641810655594,65.77072555944324
23,source20-34,48.256678733974695,70.13279930129647,76.6195945776999
24,source20-34,45.35034731402993,67.67375538498163,73.86217468976974
25,source20-34,45.02019849792123,66.86934711784124,73.24169057235122
26,source20-34,39.64554654434323,61.47856117784977,67.72748164087534
27,source20-34,41.84606559947133,63.8400645442307,70.12685203552246
28,source20-34,45.63939333334565,67.29683873429894,73.83556697517633
29,source20-34,33.48870597407222,55.776762433350086,62.06696341186762
30,source20-34,46.21875597909093,68.49424800276756,72.15715205669403
31,source20-34,51.320371475070715,73.49163272604346,80.03982223942876
32,source20-34,47.78626688197255,69.60610641911626,76.04999263212085
