injection_id,M_c,q,s1_mag,s1_theta,s1_phi,s2_mag,s2_theta,s2_phi,iota,lambda_1,lambda_2,ra,dec,psi,d_L
0,0.6723659623583544,0.8098601089225073,0.592868218788297,0.7731898066801155,0.96080466226664,0.39786017919034056,0.4821228728396453,0.23897203361449385,0.33097508684538235,0.8468259080198504,0.02125354891888648,0.8060950464035831,0.4694508160487972,0.9400630837545388,0.7942466014594337
1,0.9865976510908714,0.9799744522074296,0.12000829635909895,0.8098896888955359,0.3933650948624109,0.0224160835474418,0.03166960881801142,0.04157335296093192,0.4859399078274729,0.6750780970612981,0.6162067342120198,0.14842199714520662,0.9240484966505973,0.7642842597247858,0.11324839865418021
2,0.27162073645253715,0.4228946668651044,0.7811373978423543,0.37232733265112666,0.9962104357901669,0.27736744864644525,0.9940977491893382,0.37984639405217063,0.24828381412205458,0.45937336398944384,0.5125217711095206,0.015309716361650898,0.9811109916092238,0.97468221596854,0.5459914615066617
3,0.016745770736594712,0.7149568689132135,0.3635421162252611,0.9227151282339028,0.062051081127840156,0.43118286168530934,0.7024451768757393,0.7594065160019063,0.7493921500937836,0.23678966769774995,0.6589142319662167,0.7676604597004287,0.8791829122622805,0.5734319009143696,0.26594412468380463
4,0.29148332176665837,0.33130761950285714,0.17883996101642885,0.22913767546855243,0.1439443300775971,0.6170731394190135,0.7719967682913718,0.7374833039973042,0.9058239984844955,0.16570789174095535,0.6389192405889652,0.9850134966961507,0.38069400336314735,0.07793356388745573,0.8345797393304707
5,0.05400818744966551,0.23227427065055703,0.5759644195738373,0.4230278482202212,0.7654970091424846,0.5749496233033927,0.6257736560752505,0.8434404115525412,0.29769374105799307,0.53407141375164,0.11452645064443867,0.850365929179617,0.41402182723721453,0.8060927891509614,0.6591246674932472
6,0.02886019865834312,0.5969270390791787,0.11517908824307947,0.758421847181302,0.18380292663909406,0.8275330972521472,0.7094944637357027,0.23657953255704436,0.8764577453771824,0.9304061429784112,0.07664426244205569,0.9424866834227115,0.8463002930358695,0.865612789987179,0.8306783901095297
7,0.4775605991560698,0.48608617846887203,0.5768645990349575,0.5645787284822708,0.8485654029485468,0.330966615142729,0.014834858796444467,0.8755253727771715,0.12337787918478453,0.22406803777623613,0.8529253486339756,0.2985694424666321,0.06113274337224362,0.552876314007627,0.3331533477055261
8,0.9136927570365446,0.8673742810411684,0.9784352639303425,0.2704718900130872,0.8675247492119806,0.995898810144953,0.8030751013704421,0.8234388940496076,0.6451722736825233,0.9969497222998666,0.0014530120421575323,0.974723391938908,0.9972622723143518,0.943114969856759,0.8050346583826253
9,0.6947095192252241,0.8332444419146589,0.06801794506618764,0.1891635714410567,0.0765888668519015,0.9685859083142114,0.8212158496629415,0.21067478065853956,0.9038125520830594,0.44908314892750517,0.556739888959611,0.8664479592060119,0.1857805330979854,0.21518556054386803,0.03785886209163434
10,0.8260028520424785,0.2959504741708597,0.9152106230550916,0.4494738465325931,0.6468318449435008,0.02032622420799463,0.3615039945505557,0.4868860468327018,0.17475201197733756,0.16882793196051804,0.7708958679901855,0.7164710014487266,0.2008607666033875,0.33573711848866544,0.19047715656583847
11,0.9965261619685888,0.35731628907750596,0.5205669384069522,0.05439674368937625,0.5448168909288075,0.5105765114447558,0.0650712967894634,0.6032456102102339,0.9182019231176395,0.7267277532633563,0.3172156760877784,0.04211484401837437,0.8643202217745652,0.10962554825662478,0.6434110586945525
12,0.4598897421522059,0.580631519568937,0.9429648665695455,0.904668216162818,0.5007052945983854,0.744854978248924,0.07323715436231495,0.24968403213174667,0.2880959486851931,0.01246353813091234,0.9103915903120886,0.28455679889451535,0.7686365316184113,0.041377550919329514,0.7227977022611917
13,0.949222934068209,0.7374216815465529,0.7908903916469479,0.20243262951132449,0.510742526601398,0.46711099749764684,0.8323396725960821,0.744553503214371,0.8754530498180536,0.5411498139308829,0.5779848857965689,0.9483735949658296,0.13481032622874456,0.2712217219925649,0.13178559105794763
14,0.2909175911477924,0.9749539378356313,0.9351781324708993,0.8009282964538387,0.3298028593997054,0.0954547519137035,0.7144976746297905,0.7855071102863703,0.006585497136953366,0.872860925792904,0.7623165938607046,0.9987909609145352,0.9733202568596542,0.5379823142313636,0.00241263595933329
